Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.27339774606297,0.0196335701822426,-0.264075024281507,0,0,0,0.999102566760147,0.000487064031842795,6.79087549106681E-07,1.23528453698552E-06,0.0114768570045405,-2.04757964896779E-08,0.0112945243793064,0,0,0,0,0,0,package://gantry/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/base_link.STL,,Base_Link-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
X_Gantry_Link,-0.250897370416497,0.121219391821721,-0.118974126778769,0,0,0,2.7184408688585,0.00586953459875889,-2.79508273037237E-10,-7.22728452005846E-09,0.0300491640122006,8.45462220164003E-05,0.0312917393952744,0,0,0,0,0,0,package://gantry/meshes/X_Gantry_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/X_Gantry_Link.STL,,X_gantry_Link-1,Origin_x_Gantry,Axis_x_Gantry,x_Gantry,prismatic,0.0674975000000973,0.0424999999999915,0.0224999999999924,1.5707963267949,0,-1.5707963267949,base_link,0,0,1,0,0,0,0.3,,,,,,,,
Y_Gantry_Link,-0.100144651239331,-0.259006925809135,-0.0449081543375902,0,0,0,1.32530018007878,0.00487081879798324,6.39112939864611E-08,-1.68886769690012E-07,0.00261475168874749,6.95247980957958E-07,0.00721218050776162,0,0,0,0,0,0,package://gantry/meshes/Y_Gantry_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/Y_Gantry_Link.STL,,Y_gantry_Link-1,Origin_Y_Gantry,Axis_Y_Gantry,Y_Gantry,prismatic,-0.241997500000031,0.461999999999982,-0.165502499998546,0,0,0,X_Gantry_Link,1,0,0,0,0,-0.16,0,,,,,,,,
Z_Gantry_Link,-0.0536424640855505,-0.104673786375704,-0.0399261236240839,0,0,0,0.403068685283752,0.000772979562738817,3.73636664016052E-08,1.36135519292121E-10,0.000362088816461052,2.61748959077511E-07,0.00111993021135161,0,0,0,0,0,0,package://gantry/meshes/Z_Gantry_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/Z_Gantry_Link.STL,,Z_gantry-1,Origin_Z_Gantry,Axis_Z_Gantry,Z_Gantry,prismatic,-0.0465025000000195,-0.0794677300954897,-0.0589999999999941,0,0,0,Y_Gantry_Link,0,1,0,0,0,0,0.13,,,,,,,,
R_Arm_Link,0.000109473507279578,0.0560505796733769,0.13805236300869,0,0,0,0.64532660044539,0.00306981338547555,1.71181564044435E-09,6.17685909908221E-09,0.00302834442807902,-9.03830003373785E-05,0.000840530479292639,0,0,0,0,0,0,package://gantry/meshes/R_Arm_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/R_Arm_Link.STL,,rotating_arm-1,Origin_R_Arm,Axis_R_Arm,R_Arm,continuous,-0.0534999999999979,-0.100032269904372,-0.0569000000000014,3.14159265358979,0,3.14159265358979,Z_Gantry_Link,0,0,1,,,,,,,,,,,,
TMS_1_Link,-4.56840156878302E-05,7.36077865326479E-14,-3.34343663865866E-13,0,0,0,0.0116350451938088,6.14460426457637E-07,-1.18091912603685E-20,3.26582785426984E-20,4.75482817954653E-06,-1.39100706744228E-21,5.05668684718519E-06,0,0,0,0,0,0,package://gantry/meshes/TMS_1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/TMS_1_Link.STL,,diff_gear_center-1,Origin_TMS_1,Axis_TMS_1,TMS_1,continuous,0.000346999570831286,0.0752500000000218,0.370600000000016,1.57079632679489,0,0,R_Arm_Link,1,0,0,,,,,,,,,,,,
TMS_HEAD_Link,-6.06164768379713E-09,3.13335531965109E-08,0.0319916748170583,0,0,0,0.0428412061326084,1.16531775928894E-05,1.27769948468722E-13,-4.42323913483762E-13,1.16530809035127E-05,1.54673107609465E-11,8.98989779656289E-06,0,0,0,0,0,0,package://gantry/meshes/TMS_HEAD_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/TMS_HEAD_Link.STL,,TMS_gear_2-1,Origin_TMS_HEAD,Axis_TMS_HEAD,TMS_HEAD,continuous,0,0,0,0,0,3.14159265358979,TMS_1_Link,0,0,1,,,,,,,,,,,,
