Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.121865978640207,0.0246456837370067,0.27389782843817,0,0,0,0.999102566779981,0.000487090542498852,6.79121092916842E-07,1.69716831439906E-05,0.0114768570045443,1.93331648577645E-08,0.0112944978686564,0,0,0,0,0,0,package://gantry/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/base_link.STL,,Gantry Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
X_gantry,-0.330445600953593,0.412438456153616,0.719872312327478,0,0,0,2.71844086885816,0.0276076361373676,-7.81803234908446E-05,-0.00894904523953119,0.0300491640122015,3.21854109229722E-05,0.00955363785666674,0,0,0,0,0,0,package://gantry/meshes/X_gantry.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/X_gantry.STL,,Gantry X-Frame-1,Origin_X_gantry,Axis_X_gantry,X_gantry,fixed,0.384039296465491,0.296155016969451,-0.511878593824796,1.5707963267949,0,-0.388845869999989,base_link,0,0,0,,,,,,,,,,,,
Y_gantry,-0.406226038392143,0.330664773639583,0.775987322826961,0,0,0,1.32530018051395,0.0068727595486413,-6.67237256068692E-07,-0.000824318311271524,0.00261475168890882,2.05550674907776E-07,0.00521023975730692,0,0,0,0,0,0,package://gantry/meshes/Y_gantry.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/Y_gantry.STL,,Gantry Y-Frame-1,Origin_Y_gantry,Axis_Y_gantry,Y_gantry,fixed,-0.0168029342943233,0,-0.040815995123041,0,0,0,X_gantry,0,0,0,,,,,,,,,,,,
Z_gantry,-0.45617696386277,0.360694369203785,0.796550543641971,0,0,0,0.403068685222285,0.001069651416775,-2.56265949484883E-07,-0.000122132318441185,0.000362088816464686,6.50889057713201E-08,0.000823258357325589,0,0,0,0,0,0,package://gantry/meshes/Z_gantry.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/Z_gantry.STL,,Gantry Z-Frame-1,Origin_Z_gantry,Axis_Z_gantry,Z_gantry,fixed,0,-0.0573029839450929,0,0,0,0,Y_gantry,0,0,0,,,,,,,,,,,,
Arm,0.000172992865675708,9.99205360479039E-05,0.158656494242938,0,0,0,0.40832410475707,0.00270494526203626,-1.15619997300212E-18,5.79230425117364E-09,0.00273630527789283,4.93932362760822E-09,0.000324233567972814,0,0,0,0,0,0,package://gantry/meshes/Arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/Arm.STL,,Rotating Arm-1,Origin_Arm,Axis_Arm,Arm,continuous,-0.471819627899255,0.356052852730415,0.803144304946078,-0.00564683816729087,-1.18025922404267,0.00610662824055455,Z_gantry,0,0,1,,,,,,,,,,,,
gear_1,-0.0110822796622391,1.78874089429293E-07,-0.0269199712581503,0,0,0,0.0268121295267774,4.86794511120438E-06,9.15046180284066E-12,5.39303693297034E-07,4.64593436015291E-06,-3.6826761594354E-11,5.95595049268311E-06,0,0,0,0,0,0,package://gantry/meshes/gear_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/gear_1.STL,,dgear_2-1,Origin_gear_1,Axis_gear_1,gear_1,continuous,-0.00210171250473482,0.000250000000013628,0.347848885049495,2.08883588549031,-0.877218810892848,0.932946344800027,Arm,0.380679062067145,0,0.92470722485751,,,,,,,,,,,,
gear_2,0.0110705572381198,1.77162194942015E-07,0.0268914407863081,0,0,0,0.0268121325316845,4.8679440838271E-06,-7.87439687765173E-12,5.39308264291753E-07,4.64594059206303E-06,3.59578856514638E-11,5.95594839816363E-06,0,0,0,0,0,0,package://gantry/meshes/gear_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/gear_2.STL,,dgear_1-1,Origin_gear_2,Axis_gear_2,gear_2,continuous,0.00263255624415029,0.000250000000042966,0.347848885049495,-3.06605400025714,-1.1792594925658,-0.0698414933414174,Arm,0.380679062067064,0,0.924707224857544,,,,,,,,,,,,
TMS_gear,-0.678599530574604,0.241654276661634,0.938612017527155,0,0,0,0.0428411642677233,9.69581929377774E-06,-8.55825648543421E-07,8.05759888760873E-07,1.12788798612566E-05,3.52375889302861E-07,1.13213907041867E-05,0,0,0,0,0,0,package://gantry/meshes/TMS_gear.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/TMS_gear.STL,,TMS_gear-1,Origin_TMS_gear,Axis_TMS_gear,TMS_gear,fixed,-1.00907945081611,-0.508959801789388,-0.271857893788026,1.54029511978886,-0.018453554251524,2.65833929924169,gear_2,0,0,0,,,,,,,,,,,,
