Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.273397746062969,0.0196335701823842,0.290424975718704,0,0,0,0.999102566758599,0.000487064031842296,6.79087549974893E-07,1.23528453577318E-06,0.0114768570045371,-2.04757967514068E-08,0.0112945243793031,0,0,0,0,0,0,package://gantry/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/base_link.STL,,Gantry Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
X_gantry_link,-0.0698541814264949,0.412438460402414,0.612593275517403,0,0,0,2.7184408688585,0.0276076361378352,-7.8180395929004E-05,-0.00894904523905823,0.0300491640122007,3.21852349643491E-05,0.00955363785619821,0,0,0,0,0,0,package://gantry/meshes/X_gantry.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/X_gantry.STL,,Gantry X-Frame-1,Origin_X_gantry,Axis_X_gantry,X_gantry,prismatic,-0.10352,0.27877,0.55616,-1.5708,0,-2.7511,base_link,0.92471,0,-0.38068,0,0,0,0,,,,,,,,
Y_gantry_link,-0.572532898605919,0.330664778033361,0.372011453080152,0,0,0,1.32530018007877,0.00687275954854803,-6.672305225229E-07,-0.000824318311314372,0.00261475168874748,2.05567113830463E-07,0.00521023975719679,0,0,0,0,0,0,package://gantry/meshes/Y_gantry.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/Y_gantry.STL,,Gantry Y-Frame-1,Origin_Y_gantry,Axis_Y_gantry,Y_gantry,prismatic,0.38439,0,0.19344,0,0,0,X_gantry,0.38068,0,0.92471,0,0,0,0,,,,,,,,
Z_gantry_link,-0.456176964938818,0.104673786807244,0.796550541009001,0,0,0,0.403068685283753,0.00106965141676946,-2.56264719037376E-07,-0.000122132318438366,0.000362088816461054,6.50918959412524E-08,0.000823258357320967,0,0,0,0,0,0,package://gantry/meshes/Z_gantry.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/Z_gantry.STL,,Gantry Z-Frame-1,Origin_Z_gantry,Axis_Z_gantry,Z_gantry,prismatic,-0.16631,0.1855,-0.40398,0,0,0,Y_gantry,0,1,0,0,0,0,0,,,,,,,,
R_arm_link,0.000172992865614646,-9.99205360449618E-05,-0.158657609193451,0,0,0,0.408324104757072,0.00270494526203626,1.76654813115539E-18,-5.79230427057177E-09,0.00273630527789283,4.93932358664184E-09,0.000324233567972814,0,0,0,0,0,0,package://gantry/meshes/R_arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/R_arm.STL,,Rotating Arm-1,Origin_R_arm,Axis_R_arm,R_arm,continuous,-0.47182,0.10003,0.80314,3.1416,-1.1803,0,Z_gantry,0,0,1,,,,,,,,,,,,
TMS_1_link,-1.73909482529822E-05,3.88578058618805E-15,-4.22443393599536E-05,0,0,0,0.0116350451938087,4.37666591544049E-06,9.70035806134583E-08,-1.54880682052679E-06,4.79724370288521E-06,-3.99339716317391E-08,1.25206583486366E-06,0,0,0,0,0,0,package://gantry/meshes/TMS_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/TMS_1.STL,,dgear_center-1,Origin_TMS_1,Axis_TMS_1,TMS_1,continuous,0.00034733,-0.00025,-0.34785,2.266,-0.99955,0.78967,R_arm,0.38068,0,0.92471,,,,,,,,,,,,
TMS_HEAD_link,-0.0274259091798583,-0.011992160041742,0.011290539162308,0,0,0,0.0428411645602252,9.69581928427433E-06,-8.55825624289951E-07,8.05759898039751E-07,1.12788800479917E-05,3.52375864231027E-07,1.13213908836374E-05,0,0,0,0,0,0,package://gantry/meshes/TMS_HEAD.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gantry/meshes/TMS_HEAD.STL,,TMS_gear-1,Origin_TMS_HEAD,Axis_TMS_HEAD,TMS_HEAD,continuous,0,0,0,1.3245,0.71549,-0.069725,TMS_1,0.85728,0.37485,-0.35292,,,,,,,,,,,,
